0: [0.826,0.161829614,0,0.006085193,0,0.006085193,0]
5: [0.826,0.167373901,0,0.006626099,0,0,0]
10: [0.874,0.126,0,0,0,0,0]
15: [0.874,0.123474626,0,0.001262687,0,0.001262687,0]
20: [0.838,0.153501713,0,0.008498287,0,0,0]
25: [0.838,0.157877069,0,0.004122931,0,0,0]
30: [0.802,0.186385752,0,0.010784659,0,0.000829589,0]
35: [0.802,0.185644466,0,0.011405108,0,0.000950426,0]
40: [0.76,0.213013444,0,0.020509782,0,0.006476773,0]
45: [0.76,0.207210413,0,0.027168515,0,0.005621072,0]
50: [0.706,0.25524523,0,0.034195385,0,0.004559384,0]
55: [0.706,0.222626632,0,0.065775457,0,0.005597911,0]
60: [0.622,0.270040285,0,0.086367772,0,0.017993286,0.003598657]
65: [0.622,0.225343587,0.008251698,0.111397923,0,0.018861024,0.014145768]
70: [0.586,0.109950189,0,0.219643826,0.018826614,0.032789686,0.032789686]
75: [0.586,0.072096598,0.025642755,0.234401083,0.030574054,0.051285511,0]
80: [0.586,0.00409581,0.070944956,0.213491765,0.093936377,0.010510364,0.021020728]
85: [0.586,0.048304351,0.087766956,0.172892776,0.097722004,0,0.007313913]
90: [0.586,0.036140995,0.131093941,0.138805349,0.107959715,0,0]


